Package	Version	Architecture	Status
libavutil57	7:5.1.8-0+deb12u1	amd64	install ok installed
libayatana-ido3-0.4-0	0.9.3-1	amd64	install ok installed
libayatana-indicator3-7	0.9.3-1	amd64	install ok installed
libbdplus0	0.2.0-3	amd64	install ok installed
libblkid1	2.38.1-5+deb12u3	amd64	install ok installed
libblockdev-crypto2	2.28-2+deb12u1	amd64	install ok installed
libblockdev-fs2	2.28-2+deb12u1	amd64	install ok installed
libblockdev-loop2	2.28-2+deb12u1	amd64	install ok installed
libblockdev-part-err2	2.28-2+deb12u1	amd64	install ok installed
libblockdev-part2	2.28-2+deb12u1	amd64	install ok installed
libblockdev-swap2	2.28-2+deb12u1	amd64	install ok installed
libblockdev-utils2	2.28-2+deb12u1	amd64	install ok installed
libblockdev2	2.28-2+deb12u1	amd64	install ok installed
libbluetooth3	5.66-1+deb12u2	amd64	install ok installed
libbluray2	1:1.3.4-1	amd64	install ok installed
libbpf1	1:1.1.2-0+deb12u1	amd64	install ok installed
libbrotli1	1.0.9-2+b6	amd64	install ok installed
libbsd0	0.11.7-2	amd64	install ok installed
libbz2-1.0	1.0.8-5+b1	amd64	install ok installed
libc-bin	2.36-9+deb12u14	amd64	install ok installed
libc-l10n	2.36-9+deb12u14	all	install ok installed
libc6	2.36-9+deb12u14	amd64	install ok installed
libcairo-gobject2	1.16.0-7	amd64	install ok installed
libcairo2	1.16.0-7	amd64	install ok installed
libcairomm-1.0-1v5	1.14.4-2	amd64	install ok installed
libcanberra-gtk3-0	0.30-10	amd64	install ok installed
libcanberra-gtk3-module	0.30-10	amd64	install ok installed
libcanberra0	0.30-10	amd64	install ok installed
libcap-ng0	0.8.3-1+b3	amd64	install ok installed
libcap2	1:2.66-4+deb12u3+b1	amd64	install ok installed
libcap2-bin	1:2.66-4+deb12u3+b1	amd64	install ok installed
libcbor0.8	0.8.0-2+b1	amd64	install ok installed
libcdparanoia0	3.10.2+debian-14	amd64	install ok installed
libcfitsio10	4.2.0-3	amd64	install ok installed
libcodec2-1.0	1.0.5-1	amd64	install ok installed
libcolord2	1.4.6-2.2	amd64	install ok installed
libcolorhug2	1.4.6-2.2	amd64	install ok installed
libcom-err2	1.47.0-2+b2	amd64	install ok installed
libcrypt1	1:4.4.33-2	amd64	install ok installed
libcryptsetup12	2:2.6.1-4~deb12u2	amd64	install ok installed
libcups2	2.4.2-3+deb12u9	amd64	install ok installed
libcurl3-gnutls	7.88.1-10+deb12u14	amd64	install ok installed
libcurl4	7.88.1-10+deb12u14	amd64	install ok installed
libdaemon0	0.14-7.1	amd64	install ok installed
libdatrie1	0.2.13-2+b1	amd64	install ok installed
libdav1d6	1.0.0-2+deb12u1	amd64	install ok installed
libdb5.3	5.3.28+dfsg2-1	amd64	install ok installed
libdbus-1-3	1.14.10-1~deb12u1	amd64	install ok installed
libdbus-glib-1-2	0.112-3	amd64	install ok installed
libdbusmenu-glib4	18.10.20180917~bzr492+repack1-3	amd64	install ok installed
libdbusmenu-gtk3-4	18.10.20180917~bzr492+repack1-3	amd64	install ok installed
libdconf1	0.40.0-4	amd64	install ok installed
libde265-0	1.0.11-1+deb12u2	amd64	install ok installed
libdebconfclient0	0.270	amd64	install ok installed
libdeflate0	1.14-1	amd64	install ok installed
libdevmapper1.02.1	2:1.02.185-2	amd64	install ok installed
libdrm-amdgpu1	2.4.114-1+b1	amd64	install ok installed
libdrm-common	2.4.114-1	all	install ok installed
libdrm-intel1	2.4.114-1+b1	amd64	install ok installed
libdrm-nouveau2	2.4.114-1+b1	amd64	install ok installed
libdrm-radeon1	2.4.114-1+b1	amd64	install ok installed
libdrm2	2.4.114-1+b1	amd64	install ok installed
libduktape207	2.7.0-2	amd64	install ok installed
libdw1	0.188-2.1	amd64	install ok installed
libedit2	3.1-20221030-2	amd64	install ok installed
libefiboot1	37-6	amd64	install ok installed
libefivar1	37-6	amd64	install ok installed
libegl-mesa0	22.3.6-1+deb12u1	amd64	install ok installed
libegl1	1.6.0-1	amd64	install ok installed
libelf1	0.188-2.1	amd64	install ok installed
libepoxy0	1.5.10-1	amd64	install ok installed
liberror-perl	0.17029-2	all	install ok installed
libevdev2	1.13.0+dfsg-1	amd64	install ok installed
libevent-core-2.1-7	2.1.12-stable-8	amd64	install ok installed
libexif12	0.6.24-1+deb12u1	amd64	install ok installed
libexo-2-0	4.18.0-1	amd64	install ok installed
libexo-common	4.18.0-1	all	install ok installed
libexpat1	2.5.0-1+deb12u2	amd64	install ok installed
libext2fs2	1.47.0-2+b2	amd64	install ok installed
libfdisk1	2.38.1-5+deb12u3	amd64	install ok installed
libffi8	3.4.4-1	amd64	install ok installed
libfftw3-double3	3.3.10-1	amd64	install ok installed
libfftw3-single3	3.3.10-1	amd64	install ok installed
libfido2-1	1.12.0-2+b1	amd64	install ok installed
libflac12	1.4.2+ds-2	amd64	install ok installed
libfontconfig1	2.14.1-4	amd64	install ok installed
libfontenc1	1:1.1.4-1	amd64	install ok installed
libfreetype6	2.12.1+dfsg-5+deb12u4	amd64	install ok installed
libfribidi0	1.0.8-2.1	amd64	install ok installed
libfuse2	2.9.9-6+b1	amd64	install ok installed
libfuse3-3	3.14.0-4	amd64	install ok installed
libgarcon-1-0	4.18.0-1	amd64	install ok installed
libgarcon-common	4.18.0-1	all	install ok installed
libgarcon-gtk3-1-0	4.18.0-1	amd64	install ok installed
libgav1-1	0.18.0-1+b1	amd64	install ok installed
libgbm1	22.3.6-1+deb12u1	amd64	install ok installed
libgcc-s1	12.2.0-14+deb12u1	amd64	install ok installed
libgck-1-0	3.41.1-1+b1	amd64	install ok installed
libgcr-base-3-1	3.41.1-1+b1	amd64	install ok installed
libgcrypt20	1.10.1-3	amd64	install ok installed
libgd3	2.3.3-9	amd64	install ok installed
libgdbm-compat4	1.23-3	amd64	install ok installed
libgdbm6	1.23-3	amd64	install ok installed
libgdk-pixbuf-2.0-0	2.42.10+dfsg-1+deb12u4	amd64	install ok installed
libgdk-pixbuf2.0-bin	2.42.10+dfsg-1+deb12u4	amd64	install ok installed
libgdk-pixbuf2.0-common	2.42.10+dfsg-1+deb12u4	all	install ok installed
libgirepository-1.0-1	1.74.0-3	amd64	install ok installed
libgl1	1.6.0-1	amd64	install ok installed
libgl1-mesa-dri	22.3.6-1+deb12u1	amd64	install ok installed
libglapi-mesa	22.3.6-1+deb12u1	amd64	install ok installed
libglib2.0-0	2.74.6-2+deb12u9	amd64	install ok installed
libglib2.0-data	2.74.6-2+deb12u9	all	install ok installed
libglibmm-2.4-1v5	2.66.5-2	amd64	install ok installed
libglu1-mesa	9.0.2-1.1	amd64	install ok installed
libglvnd0	1.6.0-1	amd64	install ok installed
libglx-mesa0	22.3.6-1+deb12u1	amd64	install ok installed
libglx0	1.6.0-1	amd64	install ok installed
libgmp10	2:6.2.1+dfsg1-1.1	amd64	install ok installed
libgnutls30	3.7.9-2+deb12u6	amd64	install ok installed
libgomp1	12.2.0-14+deb12u1	amd64	install ok installed
libgpg-error0	1.46-1	amd64	install ok installed
libgpgme11	1.18.0-3+b1	amd64	install ok installed
libgphoto2-6	2.5.30-1	amd64	install ok installed
libgphoto2-l10n	2.5.30-1	all	install ok installed
libgphoto2-port12	2.5.30-1	amd64	install ok installed
libgpm2	1.20.7-10+b1	amd64	install ok installed
libgraphite2-3	1.3.14-1	amd64	install ok installed
libgsm1	1.0.22-1	amd64	install ok installed
libgssapi-krb5-2	1.20.1-2+deb12u4	amd64	install ok installed
libgstreamer-plugins-base1.0-0	1.22.0-3+deb12u6	amd64	install ok installed
libgstreamer1.0-0	1.22.0-2+deb12u1	amd64	install ok installed
libgtk-3-0	3.24.38-2~deb12u3	amd64	install ok installed
libgtk-3-bin	3.24.38-2~deb12u3	amd64	install ok installed
libgtk-3-common	3.24.38-2~deb12u3	all	install ok installed
libgtkmm-3.0-1v5	3.24.7-1	amd64	install ok installed
libgtop-2.0-11	2.40.0-2	amd64	install ok installed
libgtop2-common	2.40.0-2	all	install ok installed
libgudev-1.0-0	237-2	amd64	install ok installed
libgusb2	0.3.10-1	amd64	install ok installed
libharfbuzz0b	6.0.0+dfsg-3	amd64	install ok installed
libheif1	1.15.1-1+deb12u1	amd64	install ok installed
libhogweed6	3.8.1-2	amd64	install ok installed
libhwy1	1.0.3-3+deb12u1	amd64	install ok installed
libice6	2:1.0.10-1	amd64	install ok installed
libicu72	72.1-3+deb12u1	amd64	install ok installed
libidn2-0	2.3.3-1+b1	amd64	install ok installed
libieee1284-3	0.2.11-14	amd64	install ok installed
libigdgmm12	22.3.3+ds1-1	amd64	install ok installed
libindi-data	1.9.9+dfsg-2	all	install ok installed
libindidriver1	1.9.9+dfsg-2+b1	amd64	install ok installed
libinput-bin	1.22.1-1	amd64	install ok installed
libinput10	1.22.1-1	amd64	install ok installed
libip4tc2	1.8.9-2	amd64	install ok installed
libip6tc2	1.8.9-2	amd64	install ok installed
libisl23	0.25-1.1	amd64	install ok installed
libjack-jackd2-0	1.9.21~dfsg-3	amd64	install ok installed
libjansson4	2.14-2	amd64	install ok installed
libjbig0	2.1-6.1	amd64	install ok installed
libjim0.81	0.81+dfsg0-2	amd64	install ok installed
libjpeg62-turbo	1:2.1.5-2	amd64	install ok installed
libjq1	1.6-2.1+deb12u1	amd64	install ok installed
libjson-c5	0.16-2	amd64	install ok installed
libjson-glib-1.0-0	1.6.6-1	amd64	install ok installed
libjson-glib-1.0-common	1.6.6-1	all	install ok installed
libjxl0.7	0.7.0-10+deb12u1	amd64	install ok installed
libk5crypto3	1.20.1-2+deb12u4	amd64	install ok installed
libkeybinder-3.0-0	0.3.2-1.1	amd64	install ok installed
libkeyutils1	1.6.3-2	amd64	install ok installed
libklibc	2.0.12-1	amd64	install ok installed
libkmod2	30+20221128-1	amd64	install ok installed
libkrb5-3	1.20.1-2+deb12u4	amd64	install ok installed
libkrb5support0	1.20.1-2+deb12u4	amd64	install ok installed
libksba8	1.6.3-2	amd64	install ok installed
liblcms2-2	2.14-2+deb12u1	amd64	install ok installed
libldap-2.5-0	2.5.13+dfsg-5	amd64	install ok installed
libldap-common	2.5.13+dfsg-5	all	install ok installed
liblerc4	4.0.0+ds-2	amd64	install ok installed
liblightdm-gobject-1-0	1.26.0-8	amd64	install ok installed
libllvm15	1:15.0.6-4+b1	amd64	install ok installed
liblocale-gettext-perl	1.07-5	amd64	install ok installed
libltdl7	2.4.7-7~deb12u1	amd64	install ok installed
liblz4-1	1.9.4-1	amd64	install ok installed
liblzma5	5.4.1-1	amd64	install ok installed
libmbim-glib4	1.28.2-1	amd64	install ok installed
libmbim-proxy	1.28.2-1	amd64	install ok installed
libmbim-utils	1.28.2-1	amd64	install ok installed
libmd0	1.0.4-2	amd64	install ok installed
libmfx1	22.5.4-1	amd64	install ok installed
libmm-glib0	1.20.4-1	amd64	install ok installed
libmnl0	1.0.4-3	amd64	install ok installed
libmount1	2.38.1-5+deb12u3	amd64	install ok installed
libmp3lame0	3.100-6	amd64	install ok installed
libmpc3	1.3.1-1	amd64	install ok installed
libmpfr6	4.2.0-1	amd64	install ok installed
libmpg123-0	1.31.2-1+deb12u1	amd64	install ok installed
libmtdev1	1.1.6-1	amd64	install ok installed
libncursesw6	6.4-4	amd64	install ok installed
libndp0	1.8-1+deb12u1	amd64	install ok installed
libnetfilter-conntrack3	1.0.9-3	amd64	install ok installed
libnettle8	3.8.1-2	amd64	install ok installed
libnewt0.52	0.52.23-1+b1	amd64	install ok installed
libnfnetlink0	1.0.2-2	amd64	install ok installed
libnftables1	1.0.6-2+deb12u2	amd64	install ok installed
libnftnl11	1.2.4-2	amd64	install ok installed
libnghttp2-14	1.52.0-1+deb12u2	amd64	install ok installed
libnginx-mod-http-echo	1:0.63-4	amd64	install ok installed
libnl-3-200	3.7.0-0.2+b1	amd64	install ok installed
libnl-genl-3-200	3.7.0-0.2+b1	amd64	install ok installed
libnl-route-3-200	3.7.0-0.2+b1	amd64	install ok installed
libnm0	1.42.4-1+deb12u1	amd64	install ok installed
libnotify-bin	0.8.1-1	amd64	install ok installed
libnotify4	0.8.1-1	amd64	install ok installed
libnova-0.16-0	0.16-5	amd64	install ok installed
libnpth0	1.6-3	amd64	install ok installed
libnsl2	1.3.0-2	amd64	install ok installed
libnspr4	2:4.35-1	amd64	install ok installed
libnss-mdns	0.15.1-3	amd64	install ok installed
libnss3	2:3.87.1-1+deb12u2	amd64	install ok installed
libntfs-3g89	1:2022.10.3-1+deb12u3	amd64	install ok installed
libnuma1	2.0.16-1	amd64	install ok installed
libogg0	1.3.5-3	amd64	install ok installed
libonig5	6.9.8-1	amd64	install ok installed
libopengl0	1.6.0-1	amd64	install ok installed
